method,attacker,seed,outcome,success,end_time,tau_I,tau_B,tau_L,min_rho,min_attacker_hvu_dist,min_h_V,min_mu_V,min_eta_V,mean_h_V,mean_mu_V,mean_eta_V,eta_viol_integral,fraction_h_V_negative,fraction_mu_V_negative,fraction_eta_V_negative,fraction_planner_stressed,Omega_max,a_max
pn,pilot_easy,0,intercept,True,0.6700000000000004,0.6600000000000004,,,3.7583817523836665,37.20403832812947,0.06266761218293948,0.5044287245987475,-2.4935830988391094,0.1294591006064951,1.2775985089263016,0.33767253147866677,0.053069765247765216,0.0,0.0,0.07462686567164178,0.0,14.0,60.0
pn,pilot_easy,1,intercept,True,0.6500000000000004,0.6400000000000003,,,3.6651975002456916,38.17497584181676,0.011999150484589771,0.5047784671046723,-4.453747145604469,0.12641239109520122,1.2221643251238112,0.2281862136666921,0.11115800636996319,0.0,0.0,0.1076923076923077,0.0,14.0,60.0
pn,pilot_easy,2,intercept,True,0.7000000000000004,0.6900000000000004,,,3.4454885966087314,39.62224396505115,0.12249587890402547,0.5000027830798853,-0.14266965510366708,0.13343274166292896,0.8163496123452081,0.4624575529137683,0.0014266965510366708,0.0,0.0,0.014285714285714285,0.0,14.0,60.0
pn,pilot_easy,3,intercept,False,0.8000000000000005,0.7900000000000005,,0.7800000000000005,3.478284057954342,40.159578091049,-0.10522505755416567,0.5015818535550822,-9.92197535474166,0.1234952758799394,1.3365554092379204,0.07768556901566062,0.26349254452143656,0.025,0.0,0.1125,0.0,14.0,60.0
pn,pilot_easy,4,intercept,True,0.7200000000000004,0.7100000000000004,,,3.569230821729841,40.17626727070748,-0.019500995671933752,0.5046495771236263,-6.404233029261808,0.1260913103401293,1.2146916450916654,0.19229011648165534,0.15440515669289964,0.013888888888888888,0.0,0.09722222222222222,0.0,14.0,60.0
pn,pilot_easy,5,intercept,True,0.5500000000000003,0.5400000000000003,,,3.6980936631363015,35.90051368622623,0.07259221111502501,0.5109286822234916,-1.9498147717046905,0.1291575010102184,1.4993300112411578,0.33104599107765603,0.04147793652259459,0.0,0.0,0.09090909090909091,0.0,14.0,60.0
pn,pilot_easy,6,intercept,True,0.6800000000000004,0.6700000000000004,,,3.7659482957178625,37.12100774673965,0.10756039513808469,0.4958958706050787,-0.8310546204435951,0.13266742278068863,0.9333583687837658,0.4316831345719306,0.011167099711975005,0.0,0.0,0.04411764705882353,0.0,14.0,60.0
pn,pilot_easy,7,intercept,True,0.5700000000000003,0.5600000000000003,,,3.504263004567025,36.816007995270965,0.10939249675679263,0.5132120553646193,-0.635933800241804,0.13211253536906623,1.2119457236737239,0.42493417446277176,0.00817753582515165,0.0,0.0,0.03508771929824561,0.0,14.0,60.0
pn,pilot_easy,8,breach,False,3.289999999999974,,3.279999999999974,0.7200000000000004,4.349131808106282,2.908776486473828,-0.7381795531210982,0.32020766870875567,-11.201091435327204,0.06906667168366074,2.3357752159791336,0.22622844083337051,1.1255739274462868,0.11246200607902736,0.0,0.07598784194528875,0.0,14.0,60.0
pn,pilot_easy,9,intercept,True,0.5900000000000003,0.5800000000000003,,,3.7149131539599294,37.083204960658065,0.11142913541365185,0.5078072397377155,-0.5140748664223043,0.13224117968452032,1.1084690782952527,0.4318990472137505,0.00632401134137792,0.0,0.0,0.03389830508474576,0.0,14.0,60.0
