method,attacker,seed,outcome,success,end_time,tau_I,tau_B,tau_L,min_rho,min_attacker_hvu_dist,min_h_V,min_mu_V,min_eta_V,mean_h_V,mean_mu_V,mean_eta_V,eta_viol_integral,fraction_h_V_negative,fraction_mu_V_negative,fraction_eta_V_negative,fraction_planner_stressed,Omega_max,a_max
pn,pilot_hard,0,intercept,True,0.6900000000000004,0.6800000000000004,,,3.783895940114178,37.31880996588266,-0.01787470889196563,0.504427898113112,-5.521427224851416,0.12485490796932974,1.411536972543264,0.1855570525472434,0.14545506517611653,0.014492753623188406,0.0,0.11594202898550725,0.0,14.0,60.0
pn,pilot_hard,1,breach,False,3.0699999999999785,,3.0599999999999787,0.6300000000000003,4.270151399961359,2.958550190257367,-0.7228047852916857,0.402880750101055,-10.5083769004278,0.06444065005747643,2.6486917856911596,0.20918267184709463,1.0897681200601306,0.1237785016286645,0.0,0.08143322475570032,0.0,14.0,60.0
pn,pilot_hard,2,intercept,True,0.7000000000000004,0.6900000000000004,,,3.55211487836328,39.78815428297811,0.1045048187073061,0.4999623255325149,-1.1793994401867156,0.13268901697347218,0.9179174704228424,0.42619979372744643,0.016937660305846754,0.0,0.0,0.04285714285714286,0.0,14.0,60.0
pn,pilot_hard,3,breach,False,3.509999999999969,,3.4999999999999694,0.7700000000000005,4.077460411463505,2.8786548114506796,-0.8270022711368913,-0.14484345443000118,-13.541517774090522,0.06925036842654196,2.328731073484497,0.2278655462415537,1.224084279189873,0.10256410256410256,0.002849002849002849,0.06837606837606838,0.0,14.0,60.0
pn,pilot_hard,4,breach,False,3.7299999999999645,,3.7199999999999647,0.7100000000000004,3.8702685959866483,2.9868781469373875,-0.7875034978589736,-1.8231402781593005,-12.942707571495443,0.07512648163101773,2.4081144778519548,0.24979910208370917,1.166965586975081,0.09651474530831099,0.013404825737265416,0.06166219839142091,0.0,14.0,60.0
pn,pilot_hard,5,intercept,False,0.5700000000000003,0.5600000000000003,,0.5500000000000003,3.54775672946655,35.753177889848565,-0.06738346831968356,0.5108671708023858,-7.12868729099054,0.1202965749873849,1.538063620166294,0.011669390495944773,0.20685802518153765,0.03508771929824561,0.0,0.15789473684210525,0.0,14.0,60.0
pn,pilot_hard,6,intercept,True,0.6900000000000004,0.6800000000000004,,,3.4692001308076574,37.079649506879406,0.0240976112278819,0.4958508662307571,-5.063241503765554,0.12893981561012247,1.1250609305785118,0.2658358009477883,0.1069113743075812,0.0,0.0,0.08695652173913043,0.0,14.0,60.0
pn,pilot_hard,7,intercept,True,0.5700000000000003,0.5600000000000003,,,3.6334532662511765,36.97652545131902,0.08154569542633316,0.5131878248099851,-2.0165517279500027,0.13058514489710954,1.188717993684633,0.35808525509934885,0.03656533371723184,0.0,0.0,0.07017543859649122,0.0,14.0,60.0
pn,pilot_hard,8,breach,False,3.569999999999968,,3.559999999999968,0.7100000000000004,6.010924255011706,2.967567461578724,-0.48892701516919834,0.5057120790202712,-6.618469656247792,0.08733021970359628,2.3962408447474606,0.29906990338220196,0.7820828312294872,0.10084033613445378,0.0,0.07282913165266107,0.0,14.0,60.0
pn,pilot_hard,9,intercept,True,0.6000000000000003,0.5900000000000003,,,3.4238063029914954,37.14029497503791,0.07397511786604782,0.5077547755701405,-2.4940713377695287,0.1303269177819423,1.2914068679058854,0.34601986850946775,0.04547047242705176,0.0,0.0,0.06666666666666667,0.0,14.0,60.0
pn,pilot_hard,10,intercept,False,0.8000000000000005,0.7900000000000005,,0.7700000000000005,3.532043968489562,39.794562782272195,-0.14364773690160526,-2.353735483531142,-10.498806995636874,0.12126630550070741,1.1653820686080332,0.01860253759689152,0.3063469442178493,0.0375,0.025,0.1125,0.0,14.0,60.0
pn,pilot_hard,11,breach,False,4.339999999999952,,4.329999999999952,0.6800000000000004,5.142548400349314,2.9558173090132382,-0.5741575878019372,0.509300454566069,-8.495514379680207,0.08582763368273524,2.964635970943175,0.2777819545644775,0.9172236232253947,0.08294930875576037,0.0,0.059907834101382486,0.0,14.0,60.0
pn,pilot_hard,12,intercept,False,0.7400000000000004,0.7300000000000004,,0.7100000000000004,3.6418539869139406,39.347560456372925,-0.19252267203856854,-0.6448859017548247,-10.74857950943,0.1162234575626928,1.4569910836115165,-0.10187307483952535,0.3582575067470294,0.04054054054054054,0.013513513513513514,0.14864864864864866,0.0,14.0,60.0
pn,pilot_hard,13,intercept,False,0.7000000000000004,0.6900000000000004,,0.6700000000000004,3.726085420004399,36.54003167885234,-0.13250985297460816,0.521830664926592,-8.26789472174378,0.11723414331484032,1.7324611648077795,-0.02434684249338584,0.27929800528038384,0.04285714285714286,0.0,0.15714285714285714,0.0,14.0,60.0
pn,pilot_hard,14,breach,False,3.1099999999999777,,3.099999999999978,0.7300000000000004,4.9258906224776755,2.859301892922664,-0.6402786351670873,0.5012006632443667,-9.422234024178106,0.0683931523659173,2.5365501460610194,0.22530269345569667,0.9974902223177865,0.12540192926045016,0.0,0.08038585209003216,0.0,14.0,60.0
pn,pilot_hard,15,intercept,True,0.8200000000000005,0.8100000000000005,,,3.7724085980648603,39.418548705239154,-0.05599022361913841,0.4828969347677215,-7.28210736360609,0.12425597092186505,1.4407481571874234,0.16532637691675256,0.1948724447149774,0.012195121951219513,0.0,0.0975609756097561,0.0,14.0,60.0
pn,pilot_hard,16,intercept,True,0.6700000000000004,0.6600000000000004,,,3.490398549167816,41.44618885627131,0.004078702893972608,0.5041331826616395,-5.6122354839069155,0.12762550671897127,1.1844895856816138,0.2192867816039621,0.1299984464058134,0.0,0.0,0.08955223880597014,0.0,14.0,60.0
