method,attacker,seed,outcome,success,end_time,tau_I,tau_B,tau_L,min_rho,min_attacker_hvu_dist,min_h_V,min_mu_V,min_eta_V,mean_h_V,mean_mu_V,mean_eta_V,eta_viol_integral,fraction_h_V_negative,fraction_mu_V_negative,fraction_eta_V_negative,fraction_planner_stressed,Omega_max,a_max
pn,pilot_easy,0,intercept,True,0.6700000000000004,0.6600000000000004,,,3.64222027912606,36.80071436934771,-0.03566561402246604,-1.203735674979508,-5.907065601209238,0.12211100591387547,0.9526288461564494,0.138650387649668,0.16123519966301292,0.014925373134328358,0.014925373134328358,0.13432835820895522,0.0,8.0,70.0
pn,pilot_easy,1,intercept,False,0.6500000000000004,0.6400000000000003,,0.6300000000000003,3.5256409577222483,37.79448697691295,-0.09441489454703156,-3.8741588167241394,-8.062718631816939,0.11901607751450517,0.8459103260896333,0.010727103904281967,0.2356222499932825,0.03076923076923077,0.046153846153846156,0.15384615384615385,0.0,8.0,70.0
pn,pilot_easy,2,intercept,True,0.6900000000000004,0.6800000000000004,,,3.6521654091997307,39.367375008678394,0.12470468118500933,0.493940321376986,0.024421989240146588,0.13331765991436398,0.7274470892400737,0.46647742230476164,0.0,0.0,0.0,0.0,0.0,8.0,70.0
pn,pilot_easy,3,intercept,False,0.7900000000000005,0.7800000000000005,,0.7700000000000005,3.5784400160746475,39.82342063955986,-0.13173518870141343,-4.246800926946729,-10.612742968126305,0.12151359860574469,0.8445095487124715,0.029723385972224042,0.29174527398964534,0.02531645569620253,0.02531645569620253,0.11392405063291139,0.0,8.0,70.0
pn,pilot_easy,4,intercept,False,0.7200000000000004,0.7100000000000004,,0.6900000000000004,3.4297346217535396,39.725778863634254,-0.14180036637244653,-5.775792489371895,-10.75297997253577,0.11883850912442503,0.7480692981111862,-0.033358370622458645,0.3001377930354694,0.041666666666666664,0.041666666666666664,0.1388888888888889,0.0,8.0,70.0
pn,pilot_easy,5,intercept,True,0.5500000000000003,0.5400000000000003,,,3.5480625256249176,35.59787925987137,0.007863272756360895,0.500096096589525,-4.251920078869456,0.12338185350654637,1.1803221828327064,0.17170635100228435,0.11003074407803315,0.0,0.0,0.14545454545454545,0.0,8.0,70.0
pn,pilot_easy,6,intercept,True,0.6800000000000004,0.6700000000000004,,,3.3592672179696392,36.705955680271465,0.1020602878983311,0.4916053572220613,-1.266783675867971,0.1324780966465147,0.7396969450613123,0.41965052191907964,0.0184616503868687,0.0,0.0,0.04411764705882353,0.0,8.0,70.0
pn,pilot_easy,7,intercept,True,0.5600000000000003,0.5500000000000003,,,3.7922899069411753,36.673938754936124,0.08800501163671315,0.5013967856542813,-1.1976972768087197,0.1295674253483444,1.0929115915315255,0.3714043043608746,0.022084075243433986,0.0,0.0,0.07142857142857142,0.0,8.0,70.0
pn,pilot_easy,8,breach,False,3.1599999999999766,,3.149999999999977,0.6900000000000004,4.6733794321193045,2.9461264943305787,-0.8473700125119427,-5.757671496467305,-11.785718620720804,0.05521514899690143,1.1938102262037835,0.1695416268007162,1.2889941220505077,0.12658227848101267,0.04113924050632911,0.08860759493670886,0.0,8.0,70.0
pn,pilot_easy,9,intercept,True,0.5900000000000003,0.5800000000000003,,,3.492720351426389,36.74560115597724,0.0710659112563361,0.4983754882970511,-2.0571720255719765,0.12869928846019885,0.9662692850271994,0.33716803075802787,0.040240569557962756,0.0,0.0,0.0847457627118644,0.0,8.0,70.0
pn,pilot_easy,10,intercept,True,0.7700000000000005,0.7600000000000005,,,3.573351538411423,39.32917198901324,-0.04704320501557557,-2.562762537461028,-7.256926730393762,0.12431145691232083,0.919150907085219,0.16212102354323485,0.18313462366650674,0.012987012987012988,0.025974025974025976,0.1038961038961039,0.0,8.0,70.0
pn,pilot_easy,11,breach,False,3.2499999999999747,,3.239999999999975,0.6700000000000004,3.802990354297322,2.901647431396592,-0.9954534328337165,-8.363685196284562,-15.278296898693426,0.048138578648883185,1.2707244251298644,0.1408440524868556,1.4808569184533833,0.12307692307692308,0.033846153846153845,0.08,0.0,8.0,70.0
pn,pilot_easy,12,intercept,False,0.7200000000000004,0.7100000000000004,,0.6900000000000004,3.5421994870904565,39.06404238976215,-0.14671127666449535,-3.833980933089707,-10.27319883734934,0.11827409795710125,0.9162120378145967,-0.038677011578104895,0.3030343134976493,0.041666666666666664,0.027777777777777776,0.1388888888888889,0.0,8.0,70.0
pn,pilot_easy,13,intercept,False,0.6700000000000004,0.6600000000000004,,0.6400000000000003,3.6492900544151525,36.03140313380128,-0.14601868759719983,-2.9715206143639783,-8.971252652679444,0.11357598100006057,1.0806042443070494,-0.08159948081095388,0.2915357896048543,0.04477611940298507,0.029850746268656716,0.16417910447761194,0.0,8.0,70.0
pn,pilot_easy,14,intercept,False,0.7600000000000005,0.7500000000000004,,0.7200000000000004,3.7290004816284092,37.35802024469796,-0.21422144388357056,-5.195694148918991,-11.693099544345195,0.11452847959226553,0.9259364069229686,-0.12721130589111376,0.38254896064050947,0.05263157894736842,0.039473684210526314,0.14473684210526316,0.0,8.0,70.0
pn,pilot_easy,15,breach,False,3.2199999999999753,,3.2099999999999755,0.7700000000000005,4.246167770379695,2.9692763746125537,-0.9605727252890119,-8.484467735113697,-14.60681573918202,0.045745085834856244,1.0599476582308032,0.13389849325574063,1.443515450964932,0.13043478260869565,0.043478260869565216,0.08385093167701864,0.0,8.0,70.0
pn,pilot_easy,16,intercept,True,0.6500000000000004,0.6400000000000003,,,3.71741779059651,41.19251839818533,0.1031757092067842,0.4963282077824764,-1.0142752324238857,0.1322802348164026,0.7496022238485169,0.4201354004623717,0.014849768156997468,0.0,0.0,0.046153846153846156,0.0,8.0,70.0
pn,pilot_easy,17,intercept,True,0.7200000000000004,0.7100000000000004,,,3.667894185987007,35.55083959031546,-0.042700833770697666,-1.438921738401764,-6.239640895005862,0.12232705325738115,1.025758969236304,0.1484353643821788,0.1693762386478065,0.013888888888888888,0.013888888888888888,0.125,0.0,8.0,70.0
pn,pilot_easy,18,intercept,False,0.7000000000000004,0.6900000000000004,,0.6600000000000004,3.5497083701612007,35.51244980505963,-0.25316536051119976,-5.684012523455935,-11.958519140392148,0.10769875778412019,0.9502686652759577,-0.25694504472240487,0.4235770455700187,0.05714285714285714,0.04285714285714286,0.18571428571428572,0.0,8.0,70.0
pn,pilot_easy,19,intercept,False,0.6200000000000003,0.6100000000000003,,0.5900000000000003,3.715022404116275,34.83570208479807,-0.12484466544168848,-2.9224498001927492,-8.217597330642015,0.11432390568252716,1.0753416873391828,-0.0773375609837678,0.2665004434997889,0.04838709677419355,0.03225806451612903,0.1774193548387097,0.0,8.0,70.0
pn,pilot_easy,20,intercept,True,0.7000000000000004,0.6900000000000004,,,3.1971356888325,39.40979775436822,0.11618029553282372,0.5012575727859274,-0.3281631524206347,0.13262739228010956,0.8280924718162215,0.4490362001215108,0.0032816315242063473,0.0,0.0,0.014285714285714285,0.0,8.0,70.0
pn,pilot_easy,21,intercept,True,0.7000000000000004,0.6900000000000004,,,3.3512424819279434,41.2687999819656,0.034952120085471994,-0.2147021007979119,-3.8087062444619426,0.12748714804603778,0.9053279938137765,0.28773468476273,0.0832012987359826,0.0,0.014285714285714285,0.08571428571428572,0.0,8.0,70.0
pn,pilot_easy,22,intercept,True,0.6100000000000003,0.6000000000000003,,,3.6364774847773673,34.63786465043223,-0.008188147863657291,-0.43432288893566245,-5.122807709123868,0.12448527620946037,0.9002289770601927,0.16996832751644186,0.13292016378314103,0.01639344262295082,0.01639344262295082,0.13114754098360656,0.0,8.0,70.0
pn,pilot_easy,23,intercept,True,0.6600000000000004,0.6500000000000004,,,3.536883703135905,39.78207054658873,0.12924038600688548,0.500228373252156,0.31925440549983686,0.13338822813351275,0.7689480330752748,0.475009678089406,0.0,0.0,0.0,0.0,0.0,8.0,70.0
