method,attacker,seed,outcome,success,end_time,tau_I,tau_B,tau_L,min_rho,min_attacker_hvu_dist,min_h_V,min_mu_V,min_eta_V,mean_h_V,mean_mu_V,mean_eta_V,eta_viol_integral,fraction_h_V_negative,fraction_mu_V_negative,fraction_eta_V_negative,fraction_planner_stressed,Omega_max,a_max
pn,pilot_hard,0,intercept,False,0.7000000000000004,0.6900000000000004,,0.6600000000000004,3.61500889132417,36.766969003600344,-0.2676445523368859,-5.555350653997103,-12.02335453888149,0.10740856104585424,0.8106919891033544,-0.27854761331079164,0.4413255581661856,0.05714285714285714,0.05714285714285714,0.18571428571428572,0.0,8.0,70.0
pn,pilot_hard,1,breach,False,2.9399999999999813,,2.9299999999999815,0.6100000000000003,4.409630776286563,2.921162375155409,-0.8566022340556937,-6.714733264819713,-12.423504297411116,0.04802639740974962,1.269435970683765,0.14215470313212447,1.299636679632101,0.1360544217687075,0.05102040816326531,0.08843537414965986,0.0,8.0,70.0
pn,pilot_hard,2,intercept,True,0.6900000000000004,0.6800000000000004,,,3.7415103308434077,39.544409697475615,0.11551296298971547,0.493916672514558,-0.5699881641162539,0.1329745047692327,0.7550691047978391,0.4474149507738364,0.006501125336988341,0.0,0.0,0.028985507246376812,0.0,8.0,70.0
pn,pilot_hard,3,breach,False,3.379999999999972,,3.369999999999972,0.7500000000000004,4.1047162347242745,2.983134228946794,-0.9860666805643922,-8.10798495299712,-15.868621177767892,0.05250040603810107,1.2953778310260253,0.16034620898531757,1.4556942238761885,0.12130177514792899,0.03254437869822485,0.07396449704142012,0.0,8.0,70.0
pn,pilot_hard,4,breach,False,3.1599999999999766,,3.149999999999977,0.6900000000000004,4.077323911209651,2.982221267014901,-0.9399047208212632,-8.79442211249254,-14.728564882352687,0.0506788773298936,1.1883639575223646,0.15198271762345142,1.3986434211596395,0.12341772151898735,0.04113924050632911,0.07911392405063292,0.0,8.0,70.0
pn,pilot_hard,5,intercept,False,0.5600000000000003,0.5500000000000003,,0.5300000000000002,3.7764978372463522,35.61801724268192,-0.11934508335782146,-2.4103328330079337,-8.14884656648069,0.11442415815939608,1.0731607424771326,-0.11664505210678351,0.2622538971849428,0.05357142857142857,0.03571428571428571,0.17857142857142858,0.0,8.0,70.0
pn,pilot_hard,6,intercept,True,0.6800000000000004,0.6700000000000004,,,3.58038668142919,36.84670111907515,0.03599801001436964,0.021661908465849408,-4.365185295130446,0.1293805137514193,0.7830062740039146,0.28803712780522833,0.09137084341398662,0.0,0.0,0.08823529411764706,0.0,8.0,70.0
pn,pilot_hard,7,intercept,True,0.5700000000000003,0.5600000000000003,,,3.4317520938047066,36.67413381564019,0.026892831275278417,-0.5900064973604022,-4.1969929295022945,0.1262151705861508,1.0195596020706077,0.22706836193482852,0.09435873470022116,0.0,0.017543859649122806,0.10526315789473684,0.0,8.0,70.0
pn,pilot_hard,8,breach,False,3.4099999999999713,,3.3999999999999715,0.6800000000000004,6.323089149637409,2.991778128212206,-0.5890752721729,-1.6793205129625903,-7.335991139475992,0.07644155988346547,1.3120772682173463,0.25447055715270445,0.9365934416208505,0.11436950146627566,0.026392961876832845,0.08504398826979472,0.0,8.0,70.0
pn,pilot_hard,9,intercept,True,0.5900000000000003,0.5800000000000003,,,3.7393959945885404,36.98071402136863,0.04766524116768478,0.4983444833354386,-3.029672471887522,0.1272483756208871,1.0420815979327287,0.283955990665538,0.06645546582135248,0.0,0.0,0.1016949152542373,0.0,8.0,70.0
